species,中文名字
Proteus vulgaris,普通变形杆菌
Providencia alcalifaciens,产碱普罗威登斯菌
Providencia rettgeri,雷氏普罗威登斯菌
Pseudomonas aeruginosa,铜绿色假单胞菌
Pseudomonas fluorescens,荧光假单胞菌
Pseudomonas putida,恶臭假单胞菌生物型B
Ralstonia pickettii,皮氏罗尔斯顿菌
Rickettsia africae,非洲立克次氏体
Rickettsia akari,小蛛立克次氏体
Rickettsia australis,澳大利亚立克次氏体
Rickettsia canadensis,加拿大立克次体
Rickettsia conorii,康氏立克次氏体
Rickettsia felis,猫蚤立克次氏体
Rickettsia japonica,日本立克次氏体
Rickettsia montanensis,
Rickettsia parkeri,帕氏立克次氏体
Rickettsia prowazekii,普氏立克次氏体
Rickettsia rickettsii,立氏立克次氏体
Rickettsia sibirica,西伯利亚立克次氏体
Rickettsia typhi,地方性斑疹伤寒立克次氏体
Rothia dentocariosa,龋齿罗氏菌
Salmonella bongori,邦戈尔沙门氏菌
Salmonella enterica,肠沙门氏菌
Serratia marcescens,粘质沙雷氏菌
Shewanella algae,海藻希瓦菌
Shigella boydii,鲍氏志贺氏菌
Shigella dysenteriae,痢疾志贺氏菌
Shigella flexneri,福氏志贺氏菌
Shigella sonnei,宋内志贺氏菌
Staphylococcus aureus,金黄色葡萄球菌
Staphylococcus capitis,头状葡萄球菌
Staphylococcus epidermidis,表皮葡萄球菌
Staphylococcus haemolyticus,溶血葡萄球菌
Staphylococcus lugdunensis,路登葡萄球菌
Staphylococcus pseudintermedius,伪中间葡萄球菌（凝固酶阳性）
Staphylococcus saprophyticus,腐生葡萄球菌
Stenotrophomonas maltophilia,嗜麦芽糖寡养单胞菌
Streptobacillus moniliformis,念珠状链杆菌
Streptococcus agalactiae,无乳链球菌
Streptococcus anginosus,咽峡炎链球菌
Streptococcus dysgalactiae,停乳链球菌
Streptococcus equi,马链球菌
Streptococcus gordonii,格氏链球菌
Streptococcus iniae,海豚链球菌
Streptococcus mitis,缓症链球菌
Streptococcus mutans,变异链球菌
Streptococcus oralis,口腔链球菌
Streptococcus pneumoniae,肺炎链球菌
Streptococcus pyogenes,化脓链球菌
Streptococcus sanguinis,血链球菌
Streptococcus sobrinus,表兄链球菌
Streptococcus suis,猪链球菌
Tannerella forsythia,福赛斯坦纳菌
Treponema denticola,齿垢密螺旋体
Treponema pallidum,梅毒密螺旋体
Tropheryma whipplei,惠普尔养障体
Trueperella pyogenes,化脓储珀菌
Ureaplasma parvum,
Ureaplasma urealyticum,解脲尿支原体
Vibrio alginolyticus,溶藻酸弧菌
Vibrio cholerae,霍乱弧菌
Vibrio parahaemolyticus,副溶血弧菌
Vibrio vulnificus,创伤弧菌
Yersinia enterocolitica,小肠结肠炎耶尔森氏菌
Yersinia pestis,鼠疫耶尔森氏菌
Yersinia pseudotuberculosis,假结核耶尔森氏菌
Aliarcobacter butzleri,比茨莱氏另类弓形菌
Metamycoplasma hominis,人支原体
Mycoplasmoides genitalium,生殖道支原体
Mycoplasmoides pneumoniae,肺炎支原体
Actinomadura pelletieri,白乐杰马杜拉放线菌
Bartonella elizabethae,依利莎白巴尔通氏体
Borreliella mayonii,
Ehrlichia ewingii,
Haemophilus aegyptius,
Klebsiella granulomatis,
Legionella bozemanae,博兹曼氏军团菌
Legionella micdadei,
Leptospira alexanderi,
Leptospira alstonii,
Leptospira kirschneri,
Leptospira kmetyi,
Leptospira mayottensis,
Leptospira noguchii,
Leptospira weilii,
Malacoplasma penetrans,
Metamycoplasma salivarium,
Moraxella lacunata,
Moraxella nonliquefaciens,
Mycobacterium lepromatosis,
Mycobacterium malmoense,
Mycobacterium scrofulaceum,瘰疬分枝杆菌
Mycobacterium simiae,
Mycobacterium szulgai,斯氏分枝杆菌
Mycobacterium xenopi,蟾分枝杆菌
Mycolicibacterium wolinskyi,
Mycoplasmopsis caviae,
Mycoplasmopsis fermentans,
Nocardia asteroides,星状诺卡氏菌
Peptoniphilus asaccharolyticus,
Prescottella equi,
Rickettsia helvetica,
Rickettsia honei,
Staphylococcus saccharolyticus,
Streptococcus criceti,
Streptococcus equinus,
Suttonella indologenes,
Treponema vincentii,
Aspergillus nidulans,构巢曲霉
Aspergillus niger,黑曲霉
Aspergillus terreus,土曲霉
Blastomyces dermatitidis,皮炎芽生菌
Candida albicans,白色念珠菌
Candida dubliniensis,都柏林念珠菌
Candida tropicalis,热带念珠菌
Candida parapsilosis,近平滑念珠菌
Cladophialophora bantiana,班替枝孢瓶霉
Cladophialophora carrionii,卡氏枝孢瓶霉
Clavispora lusitaniae,葡萄牙棒孢酵母
Coccidioides immitis,粗球孢子菌
Coccidioides posadasii,波萨球孢子菌
Cryptococcus gattii,格特隐球菌
Cryptococcus neoformans,新生隐球菌
Encephalitozoon cuniculi,兔脑炎微孢子虫
Encephalitozoon hellem,何氏脑炎微孢子虫
Encephalitozoon intestinalis,肠脑炎微孢子虫
Exophiala dermatitidis,皮炎外瓶霉
Fonsecaea pedrosoi,裴氏着色霉
Fusarium fujikuroi,水稻恶苗病菌
Fusarium oxysporum,尖孢镰刀菌
Fusarium solani,茄病镰刀菌
Histoplasma capsulatum,荚膜组织胞浆菌
Paracoccidioides brasiliensis,巴西副球孢子菌
Pichia kudriavzevii,克氏毕赤酵母菌株
Pneumocystis jirovecii,耶氏肺孢子虫
Rhinocladiella mackenziei,麦肯泽犀牛
Rhizopus microsporus,小孢子根霉
Saccharomyces cerevisiae,酿酒酵母
Scedosporium apiospermum,尖端赛多孢
Sporothrix schenckii,申克孢子丝菌
Trichophyton rubrum,红色毛癣菌
Vittaforma corneae,角膜条微孢虫
Mucor circinelloides,卷枝毛霉
Lichtheimia corymbifera,伞枝横梗霉
Lichtheimia ramosa,分枝横梗霉
Rhizomucor pusillus,微小根毛霉
Scopulariopsis brevicaulis,短帚霉
Scedosporium boydii,波氏赛多孢
Phialophora verrucosa,疣状瓶霉
Curvularia lunata,新月弯孢霉
Acanthamoeba culbertsoni,环孢子虫
Aspergillus fumigatus,
Blastomyces gilchristii,杜氏利什曼原虫
Contracaecum osculatum,巴西利什曼原虫巴拿马亚种
