"","tb2.Sample_Name.i.","TP","FP","FN","P","R","F1","tb2.type.i.","tb2.Accession.i.","rpm_type","platform"
"54","S2",8,4843,2,0.00164914450628736,0.8,0.00329150380580128,"DNA","HRR1209931","NR","IDseq"
"55","S2",5,1083,0,0.00459558823529412,1,0.00914913083257091,"RNA","HRR1209932","NT","IDseq"
"56","S2",5,1947,0,0.00256147540983607,1,0.00510986203372509,"RNA","HRR1209932","NR","IDseq"
"57","S3",3,4411,1,0.000679655641141822,0.75,0.00135808057944771,"DNA","HRR1209933","NT","IDseq"
"58","S3",3,10710,1,0.000280033604032484,0.75,0.000559858169263787,"DNA","HRR1209933","NR","IDseq"
"59","S3",4,1283,0,0.00310800310800311,1,0.00619674670797831,"RNA","HRR1209934","NT","IDseq"
"60","S3",4,2236,0,0.00178571428571429,1,0.0035650623885918,"RNA","HRR1209934","NR","IDseq"
"61","S4",3,3702,1,0.000809716599190283,0.75,0.00161768670800755,"DNA","HRR1209935","NT","IDseq"
"62","S4",3,8649,1,0.000346740638002774,0.75,0.000693160813308688,"DNA","HRR1209935","NR","IDseq"
"63","S4",4,637,0,0.0062402496099844,1,0.0124031007751938,"RNA","HRR1209936","NT","IDseq"
"64","S4",4,993,0,0.00401203610832497,1,0.00799200799200799,"RNA","HRR1209936","NR","IDseq"
"65","S5",3,2641,1,0.00113464447806354,0.75,0.00226586102719033,"DNA","HRR1209937","NT","IDseq"
"66","S5",3,5519,1,0.000543281419775444,0.75,0.001085776330076,"DNA","HRR1209937","NR","IDseq"
"67","S5",4,897,0,0.00443951165371809,1,0.00883977900552486,"RNA","HRR1209938","NT","IDseq"
"68","S5",4,1585,0,0.00251730648206419,1,0.00502197112366604,"RNA","HRR1209938","NR","IDseq"
"69","S6",3,5786,1,0.000518224218345137,0.75,0.00103573278094252,"DNA","HRR1209939","NT","IDseq"
"70","S6",3,15190,1,0.000197459356282499,0.75,0.000394814766072251,"DNA","HRR1209939","NR","IDseq"
"71","S6",4,3300,0,0.00121065375302663,1,0.00241837968561064,"RNA","HRR1209940","NT","IDseq"
"72","S6",4,6173,0,0.000647563542172576,1,0.00129428895000809,"RNA","HRR1209940","NR","IDseq"
"73","S7",3,4535,1,0.000661084178052005,0.75,0.00132100396301189,"DNA","HRR1209941","NT","IDseq"
"74","S7",3,11072,1,0.000270880361173815,0.75,0.000541565123206066,"DNA","HRR1209941","NR","IDseq"
"75","S7",4,339,0,0.0116618075801749,1,0.0230547550432277,"RNA","HRR1209942","NT","IDseq"
"76","S7",4,477,0,0.00831600831600832,1,0.0164948453608247,"RNA","HRR1209942","NR","IDseq"
"77","S8",3,4873,1,0.000615258408531583,0.75,0.00122950819672131,"DNA","HRR1209943","NT","IDseq"
"78","S8",3,10875,1,0.000275785990071704,0.75,0.000551369233596765,"DNA","HRR1209943","NR","IDseq"
"79","S8",3,3111,1,0.000963391136801541,0.75,0.00192431045542014,"RNA","HRR1209944","NT","IDseq"
"80","S8",3,6014,1,0.000498587335881669,0.75,0.000996512207274539,"RNA","HRR1209944","NR","IDseq"
"81","S9",6,4147,0,0.00144473874307729,1,0.00288530896850204,"DNA","HRR1209945","NT","IDseq"
"82","S9",6,9384,0,0.000638977635782748,1,0.00127713920817369,"DNA","HRR1209945","NR","IDseq"
"83","S9",1,1542,0,0.000648088139987038,1,0.00129533678756477,"RNA","HRR1209946","NT","IDseq"
"84","S9",1,2644,0,0.000378071833648393,1,0.000755857898715042,"RNA","HRR1209946","NR","IDseq"
